idx,영화제목,가격,할인된 가격,링크
110,해리포터와 죽음의 성물 - 파트2 (더빙판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EC%A3%BD%EC%9D%8C%EC%9D%98_%EC%84%B1%EB%AC%BC_%ED%8C%8C%ED%8A%B82_%EB%8D%94%EB%B9%99%ED%8C%90?id=ZEGhc65P5qM
111,저스티스 리그,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%A0%80%EC%8A%A4%ED%8B%B0%EC%8A%A4_%EB%A6%AC%EA%B7%B8?id=Yjh1AulP3dA.P
112,터미네이터: 다크 페이트,할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%ED%84%B0%EB%AF%B8%EB%84%A4%EC%9D%B4%ED%84%B0_%EB%8B%A4%ED%81%AC_%ED%8E%98%EC%9D%B4%ED%8A%B8?id=l_N218yDMLs.P
113,마이펫의 이중생활 2,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%A7%88%EC%9D%B4%ED%8E%AB%EC%9D%98_%EC%9D%B4%EC%A4%91%EC%83%9D%ED%99%9C_2?id=WYpIsfGoZ9k
114,어벤져스 : 엔드게임 (더빙판),할인하지 않는 영화입니다.,"₩7,200",/store/movies/details/%EC%96%B4%EB%B2%A4%EC%A0%B8%EC%8A%A4_%EC%97%94%EB%93%9C%EA%B2%8C%EC%9E%84_%EB%8D%94%EB%B9%99%ED%8C%90?id=VihkgZYwxPo
115,50가지 그림자: 심연,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/50%EA%B0%80%EC%A7%80_%EA%B7%B8%EB%A6%BC%EC%9E%90_%EC%8B%AC%EC%97%B0?id=SPiZgUtnG58
116,토이 스토리 4 (자막판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%ED%86%A0%EC%9D%B4_%EC%8A%A4%ED%86%A0%EB%A6%AC_4_%EC%9E%90%EB%A7%89%ED%8C%90?id=tHnNCeriudo
117,팀버튼의 크리스마스 악몽,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%8C%80%EB%B2%84%ED%8A%BC%EC%9D%98_%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4_%EC%95%85%EB%AA%BD?id=TNw99f0-Cag
118,백두산,"₩2,800","₩1,500",/store/movies/details/%EB%B0%B1%EB%91%90%EC%82%B0?id=03QL4o2AQUU.P
119,해리포터와 죽음의 성물 파트1 (더빙판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EC%A3%BD%EC%9D%8C%EC%9D%98_%EC%84%B1%EB%AC%BC_%ED%8C%8C%ED%8A%B81_%EB%8D%94%EB%B9%99%ED%8C%90?id=-SddX9lUDw8
120,조조 래빗,할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EC%A1%B0%EC%A1%B0_%EB%9E%98%EB%B9%97?id=gMv4o5poB1o.P
121,이터널 선샤인,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%9D%B4%ED%84%B0%EB%84%90_%EC%84%A0%EC%83%A4%EC%9D%B8?id=cbczoGB7pcI
122,반지의 제왕 : 반지 원정대,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%B0%98%EC%A7%80%EC%9D%98_%EC%A0%9C%EC%99%95_%EB%B0%98%EC%A7%80_%EC%9B%90%EC%A0%95%EB%8C%80?id=tq0vk0JgAHQ
123,헝거게임: 더 파이널,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%ED%97%9D%EA%B1%B0%EA%B2%8C%EC%9E%84_%EB%8D%94_%ED%8C%8C%EC%9D%B4%EB%84%90?id=AaN_DllwGG0
124,엽문4 더 파이널,할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EC%97%BD%EB%AC%B84_%EB%8D%94_%ED%8C%8C%EC%9D%B4%EB%84%90?id=1Y5V991-6BQ.P
125,미 비포 유,할인하지 않는 영화입니다.,"₩4,500",/store/movies/details/%EB%AF%B8_%EB%B9%84%ED%8F%AC_%EC%9C%A0?id=Sel_jiPEmAE
126,주토피아 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84_%EC%9E%90%EB%A7%89%ED%8C%90?id=aD67C_WDpd0
127,스타워즈: 라이즈 오브 스카이워커 (자막판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%EC%8A%A4%ED%83%80%EC%9B%8C%EC%A6%88_%EB%9D%BC%EC%9D%B4%EC%A6%88_%EC%98%A4%EB%B8%8C_%EC%8A%A4%EC%B9%B4%EC%9D%B4%EC%9B%8C%EC%BB%A4_%EC%9E%90%EB%A7%89%ED%8C%90?id=lYul8tvzIR8
128,헝거게임: 모킹제이,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%97%9D%EA%B1%B0%EA%B2%8C%EC%9E%84_%EB%AA%A8%ED%82%B9%EC%A0%9C%EC%9D%B4?id=KuDyVM6lm8w.P
129,글래디에이터,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EA%B8%80%EB%9E%98%EB%94%94%EC%97%90%EC%9D%B4%ED%84%B0?id=YMul7p6gP2s
130,주먹왕 랄프 2 : 인터넷 속으로 (더빙판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%EC%A3%BC%EB%A8%B9%EC%99%95_%EB%9E%84%ED%94%84_2_%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%9C%BC%EB%A1%9C_%EB%8D%94%EB%B9%99%ED%8C%90?id=iOjmeQqMdV4
131,로그,"₩10,000","₩7,000",/store/movies/details/%EB%A1%9C%EA%B7%B8?id=6xVrsV-nDiE.P
132,"마리오 푸조의 대부, 에필로그: 마이클 콜레오네의 죽음",할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%A7%88%EB%A6%AC%EC%98%A4_%ED%91%B8%EC%A1%B0%EC%9D%98_%EB%8C%80%EB%B6%80_%EC%97%90%ED%95%84%EB%A1%9C%EA%B7%B8_%EB%A7%88%EC%9D%B4%ED%81%B4_%EC%BD%9C%EB%A0%88%EC%98%A4%EB%84%A4%EC%9D%98_%EC%A3%BD%EC%9D%8C?id=eoJhCZ7ODVA.P
133,매트릭스,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%A7%A4%ED%8A%B8%EB%A6%AD%EC%8A%A4?id=t1SOss6c40U
134,헌터킬러,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%97%8C%ED%84%B0%ED%82%AC%EB%9F%AC?id=rHYpNbxB8io.P
135,원더,할인하지 않는 영화입니다.,"₩1,500",/store/movies/details/%EC%9B%90%EB%8D%94?id=KJ7SgEIJw9k
136,애프터 : 그 후,할인하지 않는 영화입니다.,"₩9,900",/store/movies/details/%EC%95%A0%ED%94%84%ED%84%B0_%EA%B7%B8_%ED%9B%84?id=CYUvYJle3iY.P
137,내부자들: 디 오리지널,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%82%B4%EB%B6%80%EC%9E%90%EB%93%A4_%EB%94%94_%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90?id=zzn2mnuF4eY
138,트랜스포머: 최후의 기사 (자막판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%ED%8A%B8%EB%9E%9C%EC%8A%A4%ED%8F%AC%EB%A8%B8_%EC%B5%9C%ED%9B%84%EC%9D%98_%EA%B8%B0%EC%82%AC_%EC%9E%90%EB%A7%89%ED%8C%90?id=RHspcJLRxZI
139,인사이드 아웃 (더빙판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C_%EC%95%84%EC%9B%83_%EB%8D%94%EB%B9%99%ED%8C%90?id=1hf96anCCC4
